Title,Author,Genre,Price,Quantity
The Alchemist,Paulo Coelho,Fiction,299,12
Atomic Habits,James Clear,Self-help,499,8
Rich Dad Poor Dad,Robert Kiyosaki,Finance,399,10
The Great Gatsby,F. Scott Fitzgerald,Classic,249,5
To Kill a Mockingbird,Harper Lee,Classic,349,7
1984,George Orwell,Dystopian,299,9
The Psychology of Money,Morgan Housel,Finance,450,6
Ikigai,Hector Garcia,Self-help,350,11
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,550,15
The Hobbit,J.R.R. Tolkien,Fantasy,480,4
Think and Grow Rich,Napoleon Hill,Self-help,300,10
Sapiens,Yuval Noah Harari,History,599,6
The Power of Now,Eckhart Tolle,Spiritual,420,5
Wings of Fire,A.P.J. Abdul Kalam,Autobiography,350,9
The Lean Startup,Eric Ries,Business,520,7
