Date,Title,Quantity Sold,Total Revenue
2024-01-03,The Great Gatsby,3,38.97
2024-01-03,Atomic Habits,5,84.95
2024-01-04,Harry Potter and the Philosopher's Stone,4,63.96
2024-01-04,1984,2,27.98
2024-01-05,The Alchemist,6,77.94
2024-01-06,Sapiens,3,56.97
2024-01-07,Dune,2,30.98
2024-01-08,Pride and Prejudice,4,43.96
2024-01-09,The Hunger Games,5,69.95
2024-01-10,Becoming,3,59.97
2024-01-11,Gone Girl,2,29.98
2024-01-12,The Hobbit,4,57.96
2024-01-13,Educated,3,50.97
2024-01-14,The Silent Patient,6,86.94
2024-01-15,Atomic Habits,7,118.93
2024-01-16,Percy Jackson and the Lightning Thief,5,69.95
2024-01-17,The Martian,3,40.47
2024-01-18,Matilda,4,43.96
2024-01-19,Murder on the Orient Express,2,23.98
2024-01-20,The Fault in Our Stars,5,64.95
2024-02-01,Sapiens,4,75.96
2024-02-02,The Alchemist,3,38.97
2024-02-03,Harry Potter and the Philosopher's Stone,6,95.94
2024-02-04,Brave New World,2,24.98
2024-02-05,Big Little Lies,3,41.97
2024-02-06,The Notebook,4,51.96
2024-02-07,1984,5,69.95
2024-02-08,Dune,3,46.47
2024-02-09,Becoming,2,39.98
2024-02-10,Atomic Habits,8,135.92
2024-02-11,Ender's Game,3,41.97
2024-02-12,Charlotte's Web,5,49.95
2024-02-13,The Da Vinci Code,4,59.96
2024-02-14,Me Before You,6,80.94
2024-02-15,The Great Gatsby,2,25.98
2024-02-16,The Hitchhiker's Guide to the Galaxy,3,38.97
2024-02-17,Divergent,4,53.96
2024-02-18,To Kill a Mockingbird,3,44.97
2024-02-19,The Body Keeps the Score,2,34.98
2024-02-20,The Little Prince,5,49.95
2024-03-01,Atomic Habits,6,101.94
2024-03-02,Sapiens,5,94.95
2024-03-03,Harry Potter and the Philosopher's Stone,7,111.93
2024-03-04,The Alchemist,4,51.96
2024-03-05,The Hunger Games,6,83.94
2024-03-06,Educated,3,50.97
2024-03-07,Pride and Prejudice,5,54.95
2024-03-08,Gone Girl,3,44.97
2024-03-09,The Silent Patient,4,57.96
2024-03-10,Becoming,4,79.96
2024-03-11,Dune,3,46.47
2024-03-12,The Hobbit,5,72.45
2024-03-13,Matilda,6,65.94
2024-03-14,Murder on the Orient Express,3,35.97
2024-03-15,The Fault in Our Stars,4,51.96
2024-03-16,Twilight,5,64.95
2024-03-17,The Martian,4,53.96
2024-03-18,1984,3,41.97
2024-03-19,Siddhartha,2,21.98
2024-03-20,Charlie and the Chocolate Factory,5,54.95
2024-04-01,Atomic Habits,9,152.91
2024-04-02,The Great Gatsby,3,38.97
2024-04-03,Harry Potter and the Philosopher's Stone,5,79.95
2024-04-04,Sapiens,4,75.96
2024-04-05,The Alchemist,6,77.94
2024-04-06,Becoming,3,59.97
2024-04-07,Dune,2,30.98
2024-04-08,The Hunger Games,7,97.93
2024-04-09,Gone Girl,4,59.96
2024-04-10,Big Little Lies,3,41.97
2024-04-11,The Silent Patient,5,72.45
2024-04-12,Percy Jackson and the Lightning Thief,6,83.94
2024-04-13,To Kill a Mockingbird,2,29.98
2024-04-14,Educated,4,67.96
2024-04-15,The Little Prince,5,49.95
2024-04-16,Outlander,3,53.97
2024-04-17,The Da Vinci Code,4,59.96
2024-04-18,Ender's Game,2,27.98
2024-04-19,Brave New World,3,37.47
2024-04-20,The Fault in Our Stars,5,64.95
2024-05-01,Atomic Habits,10,169.90
2024-05-02,Sapiens,6,113.94
2024-05-03,Harry Potter and the Philosopher's Stone,8,127.92
2024-05-04,The Alchemist,5,64.95
2024-05-05,The Hobbit,4,57.96
2024-05-06,Becoming,5,99.95
2024-05-07,1984,4,55.96
2024-05-08,The Hunger Games,6,83.94
2024-05-09,The Silent Patient,7,101.43
2024-05-10,Gone Girl,3,44.97
2024-05-11,Dune,4,61.96
2024-05-12,The Martian,5,67.45
2024-05-13,Matilda,4,43.96
2024-05-14,Charlotte's Web,6,59.94
2024-05-15,Me Before You,4,53.96
2024-05-16,The Da Vinci Code,3,44.97
2024-05-17,Divergent,5,67.45
2024-05-18,The Notebook,3,38.97
2024-05-19,Siddhartha,2,21.98
2024-05-20,The Fault in Our Stars,6,77.94
2024-06-01,Atomic Habits,8,135.92
2024-06-02,Sapiens,5,94.95
2024-06-03,Harry Potter and the Philosopher's Stone,6,95.94
2024-06-04,The Alchemist,7,90.93
2024-06-05,Becoming,4,79.96
2024-06-06,Pride and Prejudice,5,54.95
2024-06-07,The Silent Patient,6,86.94
2024-06-08,Dune,3,46.47
2024-06-09,The Hunger Games,5,69.95
2024-06-10,Gone Girl,4,59.96
2024-06-11,Educated,3,50.97
2024-06-12,The Hobbit,5,72.45
2024-06-13,1984,4,55.96
2024-06-14,The Martian,3,40.47
2024-06-15,Percy Jackson and the Lightning Thief,7,97.93
2024-06-16,To Kill a Mockingbird,3,44.97
2024-06-17,Big Little Lies,4,55.96
2024-06-18,Charlie and the Chocolate Factory,5,54.95
2024-06-19,The Little Prince,6,59.94
2024-06-20,The Fault in Our Stars,4,51.96
